                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                0.53142,                0.53983,                0.97709,                 1.0637,                0.47985,                0.92855,                0.82308,                0.77735,                0.47985,                0.92855,                0.82308,                0.74674,                0.36021,                0.55557,                0.87791,                 1.0051,             0.00050606,             0.00050606,             0.00050606
                     58,                0.52182,                0.55956,                 0.9518,                 1.0525,                0.81048,                0.88072,                0.94543,                0.88875,                0.81048,                0.88072,                0.94543,                 0.8459,                0.36688,                 0.5919,                0.69852,                  1.012,             0.00049506,             0.00049506,             0.00049506
                     59,                 0.5606,                0.57175,                0.95928,                 1.0586,                0.62204,                0.96077,                0.91258,                0.87063,                0.62204,                0.96077,                0.91258,                 0.8157,                0.34462,                0.57852,                0.72819,                 1.0043,             0.00048406,             0.00048406,             0.00048406
                     60,                0.54847,                0.57471,                0.94951,                  1.044,                0.59263,                0.17899,                0.15252,                0.05016,                      0,                      0,                      0,                      0,                 3.3369,                 16.725,                 5.7171,                  3.964,             0.00047306,             0.00047306,             0.00047306
                     61,                0.49558,                0.55739,                0.87527,                 1.0264,                0.94342,                 0.9457,                0.97928,                 0.9123,                0.94342,                 0.9457,                0.97928,                0.88083,                0.44289,                0.56206,                0.59992,                 1.0529,             0.00046206,             0.00046206,             0.00046206
                     62,                0.52272,                0.57147,                 0.9238,                 1.0432,                0.93958,                0.89238,                0.97725,                0.90867,                0.93958,                0.89238,                0.97725,                0.88688,                0.39373,                0.55291,                0.59529,                  1.007,             0.00045107,             0.00045107,             0.00045107
                     63,                0.49177,                0.55434,                 0.8481,                 1.0289,                0.92395,                0.97077,                0.98817,                0.93087,                0.92395,                0.97077,                0.98817,                0.89294,                0.37799,                0.57938,                0.50812,                 1.0203,             0.00044007,             0.00044007,             0.00044007
                     64,                0.53175,                0.57827,                0.87607,                  1.046,                0.97395,                0.98171,                0.98615,                 0.9376,                0.97395,                0.98171,                0.98615,                0.89672,                0.34776,                0.54979,                0.45155,                0.99357,             0.00042907,             0.00042907,             0.00042907
                     65,                 0.5002,                0.54732,                0.82234,                 1.0235,                 0.3878,                0.49119,                0.42097,                0.12586,                 0.0001,                0.01333,                  5e-05,                  2e-05,                 2.7825,                 15.387,                 4.8533,                 3.4415,             0.00041807,             0.00041807,             0.00041807
                     66,                0.51512,                0.56518,                0.83337,                 1.0353,                0.62274,                0.89763,                0.94803,                0.87659,                0.62274,                0.89763,                0.94803,                0.84628,                0.43705,                0.60555,                0.82772,                 1.0521,             0.00040707,             0.00040707,             0.00040707
                     67,                0.47426,                0.54469,                 0.7634,                 1.0162,                0.97355,                0.99333,                0.98527,                0.92431,                0.97355,                0.99333,                0.98527,                0.88868,                0.36916,                0.58786,                0.43804,                 1.0063,             0.00039607,             0.00039607,             0.00039607
                     68,                0.50422,                0.56084,                0.77612,                 1.0204,                0.86702,                0.86034,                 0.9898,                0.91604,                0.86702,                0.86034,                 0.9898,                0.88403,                0.40408,                0.67633,                0.60214,                 1.0175,             0.00038507,             0.00038507,             0.00038507
                     69,                0.50277,                0.56805,                0.80527,                 1.0232,                0.98445,                0.99333,                 0.9895,                0.92792,                0.98445,                0.99333,                 0.9895,                0.89627,                0.38178,                0.57163,                 0.3728,                 1.0117,             0.00037407,             0.00037407,             0.00037407
                     70,                0.47947,                0.52176,                 0.7877,                 1.0275,                 0.9806,                0.98462,                0.98897,                0.94379,                 0.9806,                0.98462,                0.98897,                0.90302,                0.35036,                0.56433,                0.41258,                0.98964,             0.00036307,             0.00036307,             0.00036307
                     71,                0.47272,                 0.5482,                0.74884,                 1.0113,                 0.7249,                0.43582,                0.52407,                0.26453,                 0.2236,                0.25232,                0.19762,                0.04861,                 1.9067,                 9.7829,                 2.6536,                  2.512,             0.00035208,             0.00035208,             0.00035208
                     72,                0.46627,                0.52692,                0.72892,                 1.0064,                0.60492,                0.84175,                0.90445,                   0.57,                0.40421,                0.52805,                0.48737,                0.16637,                 1.2574,                 7.1091,                 1.2116,                 1.8201,             0.00034108,             0.00034108,             0.00034108
                     73,                0.45929,                0.53162,                0.69529,                0.98609,                0.72143,                0.94575,                0.97917,                0.89781,                0.72143,                0.94575,                0.97917,                0.62938,                 0.4857,                 1.8478,                0.72176,                 1.1441,             0.00033008,             0.00033008,             0.00033008
                     74,                0.45198,                0.53926,                0.71663,                0.99853,                0.98006,                0.98994,                0.98638,                0.93661,                0.98006,                0.98994,                0.98638,                0.90736,                 0.3413,                0.56455,                0.35993,                0.96697,             0.00031908,             0.00031908,             0.00031908
